통화명,전일대비,date,ttb,tts,deal_bas_r,bkpr,kftc_bkpr,kftc_deal_bas_r,cur_nm
EUR,+4.66,2023-05-11,"1,440.15","1,469.24","1,454.7","1,454","1,454","1,454.7",유로
HKD,+0.42,2023-05-11,167.38,170.77,169.08,169,169,169.08,홍콩 달러
GBP,+4.94,2023-05-11,"1,655.47","1,688.92","1,672.2","1,672","1,672","1,672.2",영국 파운드
CHF,+4.32,2023-05-11,"1,474.3","1,504.09","1,489.2","1,489","1,489","1,489.2",스위스 프랑
CAD,+3.18,2023-05-11,980.26,"1,000.07",990.17,990,990,990.17,캐나다 달러
AUD,+3.17,2023-05-11,888.96,906.91,897.94,897,897,897.94,호주 달러
NZD,+4.99,2023-05-11,834.94,851.81,843.38,843,843,843.38,뉴질랜드 달러
SEK,+0.26,2023-05-11,128.27,130.86,129.57,129,129,129.57,스웨덴 크로나
DKK,+1.06,2023-05-11,193.39,197.3,195.35,195,195,195.35,덴마아크 크로네
NOK,+0.79,2023-05-11,124.82,127.35,126.09,126,126,126.09,노르웨이 크로네
SAR,+0.99,2023-05-11,349.56,356.63,353.1,353,353,353.1,사우디 리얄
KWD,+15.59,2023-05-11,"4,279.42","4,365.87","4,322.65","4,322","4,322","4,322.65",쿠웨이트 디나르
BHD,+9.82,2023-05-11,"3,477.06","3,547.31","3,512.19","3,512","3,512","3,512.19",바레인 디나르
AED,+1.00,2023-05-11,356.99,364.2,360.6,360,360,360.6,아랍에미리트 디르함
THB,+0.20,2023-05-11,38.95,39.74,39.35,39,39,39.35,태국 바트
SGD,+4.33,2023-05-11,989.66,"1,009.65",999.66,999,999,999.66,싱가포르 달러
IDR,+0.03,2023-05-11,8.9,9.07,8.99,8,8,8.99,인도네시아 루피아
MYR,+0.24,2023-05-11,294.03,299.98,297.01,297,297,297.01,말레이지아 링기트
BND,+4.67,2023-05-11,989.66,"1,009.65",999.66,999,999,999.66,브루나이 달러
USD,-12.40,2023-05-12,"1,307.09","1,333.5","1,320.3","1,320","1,320","1,320.3",미국 달러
JPY,-8.93,2023-05-12,972.03,991.66,981.85,981,981,981.85,일본 옌
EUR,-13.80,2023-05-12,"1,426.82","1,455.65","1,441.24","1,441","1,441","1,441.24",유로
HKD,-1.60,2023-05-12,166.79,170.16,168.48,168,168,168.48,홍콩 달러
GBP,-15.85,2023-05-12,"1,635.24","1,668.27","1,651.76","1,651","1,651","1,651.76",영국 파운드
CHF,-13.37,2023-05-12,"1,461.91","1,491.44","1,476.68","1,476","1,476","1,476.68",스위스 프랑
CAD,-10.18,2023-05-12,968.83,988.4,978.62,978,978,978.62,캐나다 달러
AUD,-8.24,2023-05-12,875.82,893.51,884.67,884,884,884.67,호주 달러
NZD,-9.34,2023-05-12,823.01,839.64,831.33,831,831,831.33,뉴질랜드 달러
SEK,-1.81,2023-05-12,126.51,129.06,127.79,127,127,127.79,스웨덴 크로나
DKK,-2.12,2023-05-12,191.56,195.43,193.5,193,193,193.5,덴마아크 크로네
NOK,-2.69,2023-05-12,122.5,124.97,123.74,123,123,123.74,노르웨이 크로네
SAR,-3.31,2023-05-12,348.53,355.58,352.06,352,352,352.06,사우디 리얄
KWD,-44.55,2023-05-12,"4,262.78","4,348.89","4,305.84","4,305","4,305","4,305.84",쿠웨이트 디나르
BHD,-32.89,2023-05-12,"3,466.82","3,536.85","3,501.84","3,501","3,501","3,501.84",바레인 디나르
AED,-3.39,2023-05-12,355.93,363.12,359.53,359,359,359.53,아랍에미리트 디르함
THB,-0.41,2023-05-12,38.64,39.43,39.04,39,39,39.04,태국 바트
SGD,-10.07,2023-05-12,981.59,"1,001.42",991.51,991,991,991.51,싱가포르 달러
IDR,-0.08,2023-05-12,8.88,9.05,8.97,8,8,8.97,인도네시아 루피아
MYR,-3.11,2023-05-12,292.91,298.82,295.87,295,295,295.87,말레이지아 링기트
BND,-14.57,2023-05-12,981.59,"1,001.42",991.51,991,991,991.51,브루나이 달러
USD,-8.90,2023-05-15,"1,320.26","1,346.93","1,333.6","1,333","1,333","1,333.6",미국 달러
JPY,-7.32,2023-05-15,972.38,992.03,982.21,982,982,982.21,일본 옌
EUR,-10.06,2023-05-15,"1,432.61","1,461.56","1,447.09","1,447","1,447","1,447.09",유로
HKD,-1.12,2023-05-15,168.34,171.75,170.05,170,170,170.05,홍콩 달러
GBP,-11.21,2023-05-15,"1,643.46","1,676.67","1,660.07","1,660","1,660","1,660.07",영국 파운드
CHF,-12.41,2023-05-15,"1,469.4","1,499.09","1,484.25","1,484","1,484","1,484.25",스위스 프랑
CAD,-8.43,2023-05-15,973.75,993.42,983.59,983,983,983.59,캐나다 달러
AUD,-5.78,2023-05-15,877.05,894.76,885.91,885,885,885.91,호주 달러
NZD,-5.71,2023-05-15,817.57,834.08,825.83,825,825,825.83,뉴질랜드 달러
SEK,-1.76,2023-05-15,127.14,129.71,128.43,128,128,128.43,스웨덴 크로나
DKK,-2.76,2023-05-15,192.35,196.24,194.3,194,194,194.3,덴마아크 크로네
NOK,-0.73,2023-05-15,123.65,126.14,124.9,124,124,124.9,노르웨이 크로네
SAR,-2.37,2023-05-15,352.05,359.16,355.61,355,355,355.61,사우디 리얄
KWD,-34.00,2023-05-15,"4,302.63","4,389.56","4,346.1","4,346","4,346","4,346.1",쿠웨이트 디나르
BHD,-23.60,2023-05-15,"3,501.74","3,572.49","3,537.12","3,537","3,537","3,537.12",바레인 디나르
AED,-2.40,2023-05-15,359.53,366.8,363.17,363,363,363.17,아랍에미리트 디르함
THB,-0.23,2023-05-15,38.92,39.71,39.32,39,39,39.32,태국 바트
SGD,-7.48,2023-05-15,986.29,"1,006.22",996.26,996,996,996.26,싱가포르 달러
IDR,-0.06,2023-05-15,8.94,9.13,9.04,9,9,9.04,인도네시아 루피아
MYR,-2.18,2023-05-15,294.77,300.72,297.75,297,297,297.75,말레이지아 링기트
BND,-11.93,2023-05-15,986.29,"1,006.22",996.26,996,996,996.26,브루나이 달러
USD,+0.30,2023-05-16,"1,324.42","1,351.17","1,337.8","1,337","1,337","1,337.8",미국 달러
JPY,+0.33,2023-05-16,973.73,993.4,983.57,983,983,983.57,일본 옌
EUR,+0.12,2023-05-16,"1,440.24","1,469.33","1,454.79","1,454","1,454","1,454.79",유로
HKD,+0.05,2023-05-16,168.96,172.37,170.67,170,170,170.67,홍콩 달러
GBP,-0.16,2023-05-16,"1,658.83","1,692.34","1,675.59","1,675","1,675","1,675.59",영국 파운드
CHF,-0.25,2023-05-16,"1,478.89","1,508.76","1,493.83","1,493","1,493","1,493.83",스위스 프랑
CAD,+2.22,2023-05-16,983.53,"1,003.4",993.47,993,993,993.47,캐나다 달러
AUD,+0.33,2023-05-16,887.62,905.55,896.59,896,896,896.59,호주 달러
NZD,+2.46,2023-05-16,826.83,843.54,835.19,835,835,835.19,뉴질랜드 달러
SEK,+0.73,2023-05-16,128,130.59,129.3,129,129,129.3,스웨덴 크로나
DKK,+0.11,2023-05-16,193.42,197.33,195.38,195,195,195.38,덴마아크 크로네
NOK,+1.09,2023-05-16,125.01,127.54,126.28,126,126,126.28,노르웨이 크로네
SAR,+0.10,2023-05-16,353.17,360.3,356.74,356,356,356.74,사우디 리얄
KWD,-1.16,2023-05-16,"4,314.77","4,401.94","4,358.36","4,358","4,358","4,358.36",쿠웨이트 디나르
BHD,+0.51,2023-05-16,"3,512.77","3,583.74","3,548.26","3,548","3,548","3,548.26",바레인 디나르
AED,+0.06,2023-05-16,360.64,367.93,364.29,364,364,364.29,아랍에미리트 디르함
THB,-0.07,2023-05-16,39.2,39.99,39.6,39,39,39.6,태국 바트
SGD,+1.12,2023-05-16,991.1,"1,011.13","1,001.12","1,001","1,001","1,001.12",싱가포르 달러
IDR,+0.01,2023-05-16,8.94,9.13,9.04,9,9,9.04,인도네시아 루피아
MYR,+0.03,2023-05-16,294.47,300.42,297.45,297,297,297.45,말레이지아 링기트
BND,+1.27,2023-05-16,991.1,"1,011.13","1,001.12","1,001","1,001","1,001.12",브루나이 달러
USD,-7.20,2023-05-17,"1,322.64","1,349.36","1,336","1,336","1,336","1,336",미국 달러
JPY,-6.04,2023-05-17,969.49,989.08,979.29,979,979,979.29,일본 옌
EUR,-7.56,2023-05-17,"1,436.64","1,465.67","1,451.16","1,451","1,451","1,451.16",유로
HKD,-0.94,2023-05-17,168.73,172.14,170.44,170,170,170.44,홍콩 달러
GBP,-8.72,2023-05-17,"1,650.78","1,684.13","1,667.46","1,667","1,667","1,667.46",영국 파운드
CHF,-9.11,2023-05-17,"1,475.25","1,505.06","1,490.16","1,490","1,490","1,490.16",스위스 프랑
CAD,-7.60,2023-05-17,981.29,"1,001.12",991.21,991,991,991.21,캐나다 달러
AUD,-4.59,2023-05-17,880.14,897.93,889.04,889,889,889.04,호주 달러
NZD,-4.82,2023-05-17,823.8,840.45,832.13,832,832,832.13,뉴질랜드 달러
SEK,-1.31,2023-05-17,127.06,129.63,128.35,128,128,128.35,스웨덴 크로나
DKK,-1.24,2023-05-17,192.95,196.84,194.9,194,194,194.9,덴마아크 크로네
NOK,-1.58,2023-05-17,123.33,125.82,124.58,124,124,124.58,노르웨이 크로네
SAR,-1.91,2023-05-17,352.7,359.83,356.27,356,356,356.27,사우디 리얄
KWD,-25.59,2023-05-17,"4,307.56","4,394.59","4,351.08","4,351","4,351","4,351.08",쿠웨이트 디나르
BHD,-19.10,2023-05-17,"3,508.04","3,578.91","3,543.48","3,543","3,543","3,543.48",바레인 디나르
AED,-1.95,2023-05-17,360.18,367.45,363.82,363,363,363.82,아랍에미리트 디르함
THB,-0.43,2023-05-17,38.78,39.57,39.18,39,39,39.18,태국 바트
SGD,-6.45,2023-05-17,986.64,"1,006.57",996.61,996,996,996.61,싱가포르 달러
IDR,-0.06,2023-05-17,8.91,9.1,9.01,9,9,9.01,인도네시아 루피아
MYR,-1.10,2023-05-17,294.14,300.09,297.12,297,297,297.12,말레이지아 링기트
BND,-8.55,2023-05-17,986.64,"1,006.57",996.61,996,996,996.61,브루나이 달러
USD,+1.40,2023-05-18,"1,326","1,352.79","1,339.4","1,339","1,339","1,339.4",미국 달러
JPY,-0.93,2023-05-18,963.7,983.17,973.44,973,973,973.44,일본 옌
EUR,+3.39,2023-05-18,"1,437.12","1,466.15","1,451.64","1,451","1,451","1,451.64",유로
HKD,+0.16,2023-05-18,169.31,172.74,171.03,171,171,171.03,홍콩 달러
GBP,+4.76,2023-05-18,"1,655.85","1,689.3","1,672.58","1,672","1,672","1,672.58",영국 파운드
CHF,+4.12,2023-05-18,"1,475.71","1,505.52","1,490.62","1,490","1,490","1,490.62",스위스 프랑
CAD,+3.29,2023-05-18,985.04,"1,004.93",994.99,994,994,994.99,캐나다 달러
AUD,+2.01,2023-05-18,882.99,900.82,891.91,891,891,891.91,호주 달러
NZD,+0.94,2023-05-18,827.88,844.61,836.25,836,836,836.25,뉴질랜드 달러
SEK,-0.21,2023-05-18,126.9,129.47,128.19,128,128,128.19,스웨덴 크로나
DKK,-0.12,2023-05-18,192.95,196.84,194.9,194,194,194.9,덴마아크 크로네
NOK,-0.22,2023-05-18,123.11,125.6,124.36,124,124,124.36,노르웨이 크로네
