통화명,전일대비,date,ttb,tts,deal_bas_r,bkpr,kftc_bkpr,kftc_deal_bas_r,cur_nm
SAR,-1.12,2023-05-25,347.79,354.82,351.31,351,351,351.31,사우디 리얄
KWD,-16.88,2023-05-25,"4,242.67","4,328.38","4,285.53","4,285","4,285","4,285.53",쿠웨이트 디나르
BHD,-12.35,2023-05-25,"3,459.47","3,529.36","3,494.42","3,494","3,494","3,494.42",바레인 디나르
AED,-1.12,2023-05-25,355.19,362.36,358.78,358,358,358.78,아랍에미리트 디르함
THB,-0.24,2023-05-25,37.66,38.43,38.05,38,38,38.05,태국 바트
SGD,-3.23,2023-05-25,966.84,986.37,976.61,976,976,976.61,싱가포르 달러
IDR,-0.04,2023-05-25,8.75,8.92,8.84,8,8,8.84,인도네시아 루피아
MYR,-1.07,2023-05-25,284.07,289.8,286.94,286,286,286.94,말레이지아 링기트
BND,-5.48,2023-05-25,966.84,986.37,976.61,976,976,976.61,브루나이 달러
USD,-8.10,2023-05-26,"1,310.16","1,336.63","1,323.4","1,323","1,323","1,323.4",미국 달러
JPY,-4.13,2023-05-26,936.26,955.17,945.72,945,945,945.72,일본 옌
EUR,-7.62,2023-05-26,"1,405.28","1,433.67","1,419.48","1,419","1,419","1,419.48",유로
HKD,-1.05,2023-05-26,167.22,170.59,168.91,168,168,168.91,홍콩 달러
GBP,-8.78,2023-05-26,"1,614.65","1,647.26","1,630.96","1,630","1,630","1,630.96",영국 파운드
CHF,-9.60,2023-05-26,"1,447.05","1,476.28","1,461.67","1,461","1,461","1,461.67",스위스 프랑
CAD,-6.65,2023-05-26,960.31,979.72,970.02,970,970,970.02,캐나다 달러
AUD,-5.00,2023-05-26,852.13,869.34,860.74,860,860,860.74,호주 달러
NZD,-3.38,2023-05-26,794.15,810.2,802.18,802,802,802.18,뉴질랜드 달러
SEK,-1.55,2023-05-26,121.08,123.53,122.31,122,122,122.31,스웨덴 크로나
DKK,-1.12,2023-05-26,188.63,192.44,190.54,190,190,190.54,덴마아크 크로네
NOK,-1.42,2023-05-26,118.54,120.93,119.74,119,119,119.74,노르웨이 크로네
SAR,-2.13,2023-05-26,349.38,356.43,352.91,352,352,352.91,사우디 리얄
KWD,-28.02,2023-05-26,"4,259.03","4,345.08","4,302.06","4,302","4,302","4,302.06",쿠웨이트 디나르
BHD,-22.70,2023-05-26,"3,474.96","3,545.17","3,510.07","3,510","3,510","3,510.07",바레인 디나르
AED,-2.20,2023-05-26,356.78,363.99,360.39,360,360,360.39,아랍에미리트 디르함
THB,-0.26,2023-05-26,37.7,38.47,38.09,38,38,38.09,태국 바트
SGD,-6.46,2023-05-26,967.23,986.77,977,977,977,977,싱가포르 달러
IDR,-0.05,2023-05-26,8.76,8.93,8.85,8,8,8.85,인도네시아 루피아
MYR,-1.94,2023-05-26,283.24,288.97,286.11,286,286,286.11,말레이지아 링기트
BND,-7.91,2023-05-26,967.23,986.77,977,977,977,977,브루나이 달러
USD,+0.10,2023-05-30,"1,312.34","1,338.85","1,325.6","1,325","1,325","1,325.6",미국 달러
JPY,+1.11,2023-05-30,934.28,953.15,943.72,943,943,943.72,일본 옌
EUR,-2.41,2023-05-30,"1,405.25","1,433.64","1,419.45","1,419","1,419","1,419.45",유로
HKD,+0.15,2023-05-30,167.63,171.02,169.33,169,169,169.33,홍콩 달러
GBP,+1.05,2023-05-30,"1,621.53","1,654.28","1,637.91","1,637","1,637","1,637.91",영국 파운드
CHF,+4.47,2023-05-30,"1,451.06","1,480.37","1,465.72","1,465","1,465","1,465.72",스위스 프랑
CAD,+3.72,2023-05-30,965.38,984.89,975.14,975,975,975.14,캐나다 달러
AUD,+2.78,2023-05-30,858.07,875.4,866.74,866,866,866.74,호주 달러
NZD,+1.98,2023-05-30,794.29,810.34,802.32,802,802,802.32,뉴질랜드 달러
SEK,-0.59,2023-05-30,121.26,123.71,122.49,122,122,122.49,스웨덴 크로나
DKK,-0.34,2023-05-30,188.66,192.47,190.57,190,190,190.57,덴마아크 크로네
NOK,-0.75,2023-05-30,118.17,120.56,119.37,119,119,119.37,노르웨이 크로네
SAR,+0.01,2023-05-30,349.94,357.01,353.48,353,353,353.48,사우디 리얄
KWD,-1.78,2023-05-30,"4,265.7","4,351.87","4,308.79","4,308","4,308","4,308.79",쿠웨이트 디나르
BHD,-0.95,2023-05-30,"3,480.74","3,551.05","3,515.9","3,515","3,515","3,515.9",바레인 디나르
AED,-0.03,2023-05-30,357.32,364.53,360.93,360,360,360.93,아랍에미리트 디르함
THB,-0.03,2023-05-30,37.81,38.58,38.2,38,38,38.2,태국 바트
SGD,-0.61,2023-05-30,969.41,989,979.21,979,979,979.21,싱가포르 달러
IDR,-0.61,2023-05-30,8.77,8.94,8.86,8,8,8.86,인도네시아 루피아
MYR,+0.27,2023-05-30,284.98,290.73,287.86,287,287,287.86,말레이지아 링기트
BND,-0.61,2023-05-30,969.41,989,979.21,979,979,979.21,브루나이 달러
USD,+1.20,2023-05-31,"1,308.97","1,335.42","1,322.2","1,322","1,322","1,322.2",미국 달러
JPY,+0.72,2023-05-31,936.52,955.43,945.98,945,945,945.98,일본 옌
EUR,+1.69,2023-05-31,"1,404.8","1,433.17","1,418.99","1,418","1,418","1,418.99",유로
HKD,+0.14,2023-05-31,167.08,170.45,168.77,168,168,168.77,홍콩 달러
GBP,+1.76,2023-05-31,"1,624.31","1,657.12","1,640.72","1,640","1,640","1,640.72",영국 파운드
CHF,-1.98,2023-05-31,"1,444.39","1,473.56","1,458.98","1,458","1,458","1,458.98",스위스 프랑
CAD,+1.35,2023-05-31,962.44,981.89,972.17,972,972,972.17,캐나다 달러
AUD,+0.71,2023-05-31,853.12,870.35,861.74,861,861,861.74,호주 달러
NZD,+1.19,2023-05-31,791.47,807.46,799.47,799,799,799.47,뉴질랜드 달러
SEK,+0.01,2023-05-31,120.45,122.88,121.67,121,121,121.67,스웨덴 크로나
DKK,+0.95,2023-05-31,188.62,192.43,190.53,190,190,190.53,덴마아크 크로네
NOK,-0.53,2023-05-31,117.03,119.4,118.22,118,118,118.22,노르웨이 크로네
SAR,+0.32,2023-05-31,349.05,356.1,352.58,352,352,352.58,사우디 리얄
KWD,+5.86,2023-05-31,"4,257.39","4,343.4","4,300.4","4,300","4,300","4,300.4",쿠웨이트 디나르
BHD,+3.18,2023-05-31,"3,471.81","3,541.94","3,506.88","3,506","3,506","3,506.88",바레인 디나르
AED,+0.31,2023-05-31,356.39,363.58,359.99,359,359,359.99,아랍에미리트 디르함
THB,+0.22,2023-05-31,37.73,38.5,38.12,38,38,38.12,태국 바트
SGD,+1.29,2023-05-31,969.15,988.72,978.94,978,978,978.94,싱가포르 달러
IDR,+0.01,2023-05-31,8.73,8.9,8.82,8,8,8.82,인도네시아 루피아
MYR,+1.10,2023-05-31,284.46,290.21,287.34,287,287,287.34,말레이지아 링기트
BND,+3.13,2023-05-31,969.15,988.72,978.94,978,978,978.94,브루나이 달러
USD,-2.90,2023-06-01,"1,308.38","1,334.81","1,321.6","1,321","1,321","1,321.6",미국 달러
JPY,-0.47,2023-06-01,940.5,959.51,950.01,950,950,950.01,일본 옌
EUR,-1.57,2023-06-01,"1,399.25","1,427.52","1,413.39","1,413","1,413","1,413.39",유로
HKD,-0.34,2023-06-01,167.09,170.46,168.78,168,168,168.78,홍콩 달러
GBP,+3.74,2023-06-01,"1,628.48","1,661.37","1,644.93","1,644","1,644","1,644.93",영국 파운드
CHF,+1.44,2023-06-01,"1,437.47","1,466.5","1,451.99","1,451","1,451","1,451.99",스위스 프랑
CAD,+1.02,2023-06-01,964.31,983.8,974.06,974,974,974.06,캐나다 달러
AUD,-1.22,2023-06-01,851.37,868.56,859.97,859,859,859.97,호주 달러
NZD,+2.30,2023-06-01,788.1,804.03,796.07,796,796,796.07,뉴질랜드 달러
SEK,+0.83,2023-06-01,120.67,123.1,121.89,121,121,121.89,스웨덴 크로나
DKK,+0.09,2023-06-01,187.9,191.69,189.8,189,189,189.8,덴마아크 크로네
NOK,+1.87,2023-06-01,118.14,120.53,119.34,119,119,119.34,노르웨이 크로네
SAR,-0.84,2023-06-01,348.82,355.87,352.35,352,352,352.35,사우디 리얄
KWD,-8.03,2023-06-01,"4,254.91","4,340.86","4,297.89","4,297","4,297","4,297.89",쿠웨이트 디나르
BHD,-7.97,2023-06-01,"3,470.23","3,540.34","3,505.29","3,505","3,505","3,505.29",바레인 디나르
AED,-0.79,2023-06-01,356.22,363.41,359.82,359,359,359.82,아랍에미리트 디르함
THB,-0.02,2023-06-01,37.71,38.48,38.1,38,38,38.1,태국 바트
SGD,+0.06,2023-06-01,968.13,987.68,977.91,977,977,977.91,싱가포르 달러
IDR,-0.01,2023-06-01,8.73,8.9,8.82,8,8,8.82,인도네시아 루피아
MYR,-0.06,2023-06-01,283.47,289.2,286.34,286,286,286.34,말레이지아 링기트
BND,-2.40,2023-06-01,968.13,987.68,977.91,977,977,977.91,브루나이 달러
USD,+4.70,2023-06-02,"1,307.49","1,333.9","1,320.7","1,320","1,320","1,320.7",미국 달러
JPY,+3.49,2023-06-02,942.23,961.26,951.75,951,951,951.75,일본 옌
EUR,+5.39,2023-06-02,"1,407.32","1,435.75","1,421.54","1,421","1,421","1,421.54",유로
HKD,+0.62,2023-06-02,166.96,170.33,168.65,168,168,168.65,홍콩 달러
GBP,+6.09,2023-06-02,"1,637.96","1,671.05","1,654.51","1,654","1,654","1,654.51",영국 파운드
CHF,+11.10,2023-06-02,"1,443.94","1,473.11","1,458.53","1,458","1,458","1,458.53",스위스 프랑
CAD,+8.28,2023-06-02,972.54,992.19,982.37,982,982,982.37,캐나다 달러
AUD,+3.82,2023-06-02,859.87,877.24,868.56,868,868,868.56,호주 달러
NZD,+3.12,2023-06-02,793.78,809.81,801.8,801,801,801.8,뉴질랜드 달러
SEK,+1.49,2023-06-02,120.98,123.43,122.21,122,122,122.21,스웨덴 크로나
DKK,+2.40,2023-06-02,188.96,192.77,190.87,190,190,190.87,덴마아크 크로네
NOK,+1.63,2023-06-02,118.27,120.66,119.47,119,119,119.47,노르웨이 크로네
SAR,+1.31,2023-06-02,348.64,355.69,352.17,352,352,352.17,사우디 리얄
KWD,+19.74,2023-06-02,"4,252.28","4,338.19","4,295.24","4,295","4,295","4,295.24",쿠웨이트 디나르
BHD,+11.26,2023-06-02,"3,467.87","3,537.92","3,502.9","3,502","3,502","3,502.9",바레인 디나르
AED,+1.25,2023-06-02,355.96,363.15,359.56,359,359,359.56,아랍에미리트 디르함
THB,+0.48,2023-06-02,37.82,38.59,38.21,38,38,38.21,태국 바트
SGD,+5.01,2023-06-02,970.59,990.2,980.4,980,980,980.4,싱가포르 달러
IDR,+0.03,2023-06-02,8.72,8.89,8.81,8,8,8.81,인도네시아 루피아
MYR,+1.33,2023-06-02,283.4,289.13,286.27,286,286,286.27,말레이지아 링기트
BND,+6.74,2023-06-02,970.59,990.2,980.4,980,980,980.4,브루나이 달러
USD,+2.30,2023-06-05,"1,295.71","1,321.88","1,308.8","1,308","1,308","1,308.8",미국 달러
JPY,+0.61,2023-06-05,924.67,943.36,934.02,934,934,934.02,일본 옌
EUR,+1.55,2023-06-05,"1,386.54","1,414.55","1,400.55","1,400","1,400","1,400.55",유로
HKD,+0.29,2023-06-05,165.33,168.67,167,167,167,167,홍콩 달러
GBP,+0.97,2023-06-05,"1,611.28","1,643.83","1,627.56","1,627","1,627","1,627.56",영국 파운드
CHF,+1.11,2023-06-05,"1,424.95","1,453.74","1,439.35","1,439","1,439","1,439.35",스위스 프랑
CAD,+2.58,2023-06-05,965.07,984.56,974.82,974,974,974.82,캐나다 달러
AUD,+0.27,2023-06-05,855.23,872.5,863.87,863,863,863.87,호주 달러
NZD,-0.57,2023-06-05,784.94,800.79,792.87,792,792,792.87,뉴질랜드 달러
SEK,-0.20,2023-06-05,119.79,122.22,121.01,121,121,121.01,스웨덴 크로나
DKK,-0.79,2023-06-05,186.1,189.85,187.98,187,187,187.98,덴마아크 크로네
NOK,+0.48,2023-06-05,117.87,120.26,119.07,119,119,119.07,노르웨이 크로네
SAR,+0.56,2023-06-05,345.45,352.42,348.94,348,348,348.94,사우디 리얄
KWD,+4.02,2023-06-05,"4,211.63","4,296.72","4,254.18","4,254","4,254","4,254.18",쿠웨이트 디나르
BHD,+6.10,2023-06-05,"3,436.62","3,506.05","3,471.34","3,471","3,471","3,471.34",바레인 디나르
AED,+0.64,2023-06-05,352.76,359.89,356.33,356,356,356.33,아랍에미리트 디르함
THB,-0.14,2023-06-05,37.21,37.96,37.59,37,37,37.59,태국 바트
SGD,-0.28,2023-06-05,959.31,978.7,969.01,969,969,969.01,싱가포르 달러
IDR,+0.01,2023-06-05,8.64,8.81,8.73,8,8,8.73,인도네시아 루피아
MYR,+1.31,2023-06-05,283.06,288.77,285.92,285,285,285.92,말레이지아 링기트
BND,-2.00,2023-06-05,959.31,978.7,969.01,969,969,969.01,브루나이 달러
USD,+4.30,2023-06-07,"1,295.21","1,321.38","1,308.3","1,308","1,308","1,308.3",미국 달러
JPY,+3.65,2023-06-07,927.9,946.65,937.28,937,937,937.28,일본 옌
EUR,+4.60,2023-06-07,"1,384.98","1,412.95","1,398.97","1,398","1,398","1,398.97",유로
HKD,+0.43,2023-06-07,165.14,168.47,166.81,166,166,166.81,홍콩 달러
GBP,+5.21,2023-06-07,"1,609.17","1,641.68","1,625.43","1,625","1,625","1,625.43",영국 파운드
CHF,+2.51,2023-06-07,"1,427.07","1,455.9","1,441.49","1,441","1,441","1,441.49",스위스 프랑
CAD,+5.70,2023-06-07,966.46,985.99,976.23,976,976,976.23,캐나다 달러
AUD,+10.10,2023-06-07,864.35,881.82,873.09,873,873,873.09,호주 달러
NZD,+3.40,2023-06-07,787.49,803.4,795.45,795,795,795.45,뉴질랜드 달러
SEK,-0.77,2023-06-07,118.6,120.99,119.8,119,119,119.8,스웨덴 크로나
DKK,+0.44,2023-06-07,185.92,189.67,187.8,187,187,187.8,덴마아크 크로네
NOK,-0.74,2023-06-07,116.71,119.06,117.89,117,117,117.89,노르웨이 크로네
SAR,+1.21,2023-06-07,345.38,352.35,348.87,348,348,348.87,사우디 리얄
KWD,+13.57,2023-06-07,"4,209.62","4,294.67","4,252.15","4,252","4,252","4,252.15",쿠웨이트 디나르
BHD,+11.41,2023-06-07,"3,435.31","3,504.72","3,470.02","3,470","3,470","3,470.02",바레인 디나르
AED,+1.18,2023-06-07,352.63,359.76,356.2,356,356,356.2,아랍에미리트 디르함
THB,+0.16,2023-06-07,37.23,37.98,37.61,37,37,37.61,태국 바트
SGD,+4.23,2023-06-07,960.66,980.07,970.37,970,970,970.37,싱가포르 달러
IDR,+0.10,2023-06-07,8.71,8.88,8.8,8,8,8.8,인도네시아 루피아
MYR,-0.92,2023-06-07,281.11,286.78,283.95,283,283,283.95,말레이지아 링기트
BND,+4.91,2023-06-07,960.66,980.07,970.37,970,970,970.37,브루나이 달러
USD,-8.50,2023-06-08,"1,287.49","1,313.5","1,300.5","1,300","1,300","1,300.5",미국 달러
JPY,-5.70,2023-06-08,919.34,937.91,928.63,928,928,928.63,일본 옌
EUR,-9.81,2023-06-08,"1,377.29","1,405.12","1,391.21","1,391","1,391","1,391.21",유로
HKD,-1.08,2023-06-08,164.2,167.51,165.86,165,165,165.86,홍콩 달러
GBP,-11.24,2023-06-08,"1,601.25","1,633.6","1,617.43","1,617","1,617","1,617.43",영국 파운드
CHF,-12.83,2023-06-08,"1,414.98","1,443.57","1,429.28","1,429","1,429","1,429.28",스위스 프랑
CAD,-7.42,2023-06-08,962.64,982.09,972.37,972,972,972.37,캐나다 달러
AUD,-5.72,2023-06-08,856.63,873.94,865.29,865,865,865.29,호주 달러
NZD,-7.55,2023-06-08,777.07,792.76,784.92,784,784,784.92,뉴질랜드 달러
SEK,-0.85,2023-06-08,118.13,120.52,119.33,119,119,119.33,스웨덴 크로나
DKK,-1.05,2023-06-08,184.9,188.63,186.77,186,186,186.77,덴마아크 크로네
NOK,-0.50,2023-06-08,116.52,118.87,117.7,117,117,117.7,노르웨이 크로네
SAR,-2.27,2023-06-08,343.32,350.25,346.79,346,346,346.79,사우디 리얄
KWD,-28.18,2023-06-08,"4,183.97","4,268.5","4,226.24","4,226","4,226","4,226.24",쿠웨이트 디나르
BHD,-22.54,2023-06-08,"3,414.83","3,483.82","3,449.33","3,449","3,449","3,449.33",바레인 디나르
AED,-2.32,2023-06-08,350.52,357.61,354.07,354,354,354.07,아랍에미리트 디르함
THB,-0.31,2023-06-08,36.94,37.69,37.32,37,37,37.32,태국 바트
SGD,-7.20,2023-06-08,954.58,973.87,964.23,964,964,964.23,싱가포르 달러
IDR,-0.06,2023-06-08,8.65,8.82,8.74,8,8,8.74,인도네시아 루피아
MYR,-1.36,2023-06-08,280.04,285.69,282.87,282,282,282.87,말레이지아 링기트
BND,-6.66,2023-06-08,954.58,973.87,964.23,964,964,964.23,브루나이 달러
