통화명,전일대비,date
GBP,-8.72,2023-05-17
CHF,-9.11,2023-05-17
CAD,-7.60,2023-05-17
AUD,-4.59,2023-05-17
NZD,-4.82,2023-05-17
SEK,-1.31,2023-05-17
DKK,-1.24,2023-05-17
NOK,-1.58,2023-05-17
SAR,-1.91,2023-05-17
KWD,-25.59,2023-05-17
BHD,-19.10,2023-05-17
AED,-1.95,2023-05-17
THB,-0.43,2023-05-17
SGD,-6.45,2023-05-17
IDR,-0.06,2023-05-17
INR,-0.10,2023-05-17
MYR,-1.10,2023-05-17
PKR,-0.02,2023-05-17
BDT,+0.03,2023-05-17
PHP,-0.14,2023-05-17
EGP,-0.23,2023-05-17
MXN,-0.51,2023-05-17
BND,-8.55,2023-05-17
USD,+1.40,2023-05-18
JPY,-0.93,2023-05-18
EUR,+3.39,2023-05-18
CNY,+0.39,2023-05-18
HKD,+0.16,2023-05-18
GBP,+4.76,2023-05-18
CHF,+4.12,2023-05-18
CAD,+3.29,2023-05-18
AUD,+2.01,2023-05-18
NZD,+0.94,2023-05-18
SEK,-0.21,2023-05-18
DKK,-0.12,2023-05-18
NOK,-0.22,2023-05-18
SAR,+0.33,2023-05-18
KWD,+3.56,2023-05-18
BHD,+3.43,2023-05-18
AED,+0.38,2023-05-18
THB,+0.02,2023-05-18
SGD,+1.41,2023-05-18
IDR,+0.02,2023-05-18
INR,-0.01,2023-05-18
MYR,-0.02,2023-05-18
PKR,+0.01,2023-05-18
BDT,+0.01,2023-05-18
PHP,+0.07,2023-05-18
EGP,+0.05,2023-05-18
MXN,-0.37,2023-05-18
BND,+0.38,2023-05-18
USD,-5.30,2023-05-19
JPY,-2.74,2023-05-19
EUR,-5.04,2023-05-19
CNY,+0.08,2023-05-19
HKD,-0.65,2023-05-19
GBP,-5.71,2023-05-19
CHF,-3.58,2023-05-19
CAD,-4.67,2023-05-19
AUD,-3.04,2023-05-19
NZD,+0.70,2023-05-19
SEK,-1.55,2023-05-19
DKK,-1.46,2023-05-19
NOK,-1.29,2023-05-19
SAR,-1.37,2023-05-19
KWD,-20.79,2023-05-19
BHD,-14.06,2023-05-19
AED,-1.41,2023-05-19
THB,-0.29,2023-05-19
SGD,-3.38,2023-05-19
IDR,-0.03,2023-05-19
INR,-0.13,2023-05-19
MYR,-1.79,2023-05-19
PKR,-0.03,2023-05-19
BDT,+0.06,2023-05-19
PHP,-0.01,2023-05-19
EGP,-0.17,2023-05-19
MXN,-0.77,2023-05-19
BND,-7.97,2023-05-19
USD,+4.20,2023-05-22
JPY,+6.51,2023-05-22
EUR,+7.66,2023-05-22
CNY,-0.04,2023-05-22
HKD,+0.55,2023-05-22
GBP,+8.09,2023-05-22
CHF,+10.49,2023-05-22
CAD,+4.82,2023-05-22
AUD,+3.86,2023-05-22
NZD,+0.25,2023-05-22
SEK,+0.75,2023-05-22
DKK,+1.15,2023-05-22
NOK,+0.11,2023-05-22
SAR,+1.12,2023-05-22
KWD,+15.78,2023-05-22
BHD,+11.14,2023-05-22
AED,+1.11,2023-05-22
THB,+0.22,2023-05-22
SGD,+4.84,2023-05-22
IDR,-0.02,2023-05-22
INR,+0.02,2023-05-22
MYR,+1.79,2023-05-22
PKR,+0.08,2023-05-22
BDT,+0.04,2023-05-22
PHP,+0.11,2023-05-22
EGP,+0.14,2023-05-22
MXN,-0.02,2023-05-22
BND,+5.47,2023-05-22
USD,+3.10,2023-05-23
JPY,+2.34,2023-05-23
EUR,+3.28,2023-05-23
CNY,+0.95,2023-05-23
HKD,+0.37,2023-05-23
GBP,+4.32,2023-05-23
CHF,+3.29,2023-05-23
CAD,+2.15,2023-05-23
AUD,+2.26,2023-05-23
NZD,+3.66,2023-05-23
SEK,-0.15,2023-05-23
DKK,+0.66,2023-05-23
NOK,+0.24,2023-05-23
SAR,+0.83,2023-05-23
KWD,+7.72,2023-05-23
BHD,+7.94,2023-05-23
AED,+0.85,2023-05-23
THB,+0.12,2023-05-23
SGD,+1.83,2023-05-23
IDR,+0.02,2023-05-23
INR,+0.04,2023-05-23
MYR,+0.65,2023-05-23
PKR,-0.05,2023-05-23
BDT,+0.03,2023-05-23
PHP,+0.09,2023-05-23
EGP,+0.10,2023-05-23
MXN,-0.40,2023-05-23
BND,+0.67,2023-05-23
USD,-10.60,2023-05-24
JPY,-7.72,2023-05-24
EUR,-11.42,2023-05-24
CNY,-1.42,2023-05-24
HKD,-1.38,2023-05-24
GBP,-11.97,2023-05-24
CHF,-13.96,2023-05-24
CAD,-7.53,2023-05-24
AUD,-6.81,2023-05-24
NZD,-6.95,2023-05-24
SEK,-1.52,2023-05-24
DKK,-2.00,2023-05-24
NOK,-0.91,2023-05-24
SAR,-2.81,2023-05-24
KWD,-35.76,2023-05-24
BHD,-29.32,2023-05-24
AED,-2.87,2023-05-24
THB,-0.17,2023-05-24
SGD,-7.94,2023-05-24
IDR,-0.08,2023-05-24
INR,-0.13,2023-05-24
MYR,-2.22,2023-05-24
PKR,-0.04,2023-05-24
BDT,-0.10,2023-05-24
PHP,-0.23,2023-05-24
EGP,-0.13,2023-05-24
MXN,-0.99,2023-05-24
BND,-9.47,2023-05-24
USD,-4.20,2023-05-25
JPY,-2.44,2023-05-25
EUR,-4.39,2023-05-25
CNY,-0.78,2023-05-25
HKD,-0.51,2023-05-25
GBP,-4.67,2023-05-25
CHF,-3.43,2023-05-25
CAD,-3.41,2023-05-25
AUD,-2.28,2023-05-25
